P (kPa),T (øC ),vf (m3/kg),vg (m3/kg ),vfg (m3/kg ),hf (kJ/kg ),hg (kJ/kg ),hfg (kJ/kg ),uf (kJ/kg),ug (kJ/kg),ufg (kJ/kg ),sf (kJ/(kg K) ,sg (kJ/(kg K),sfg kJ/(kg K) 
9500,307.25,0.001435,0.019231,0.017795,1385.99,2760.97,1374.98,1372.35,2578.28,1205.92,3.3215,5.6522,2.3306
9750,309.15,0.001444,0.018638,0.017194,1397.04,2758.62,1361.58,1382.96,2576.89,1193.93,3.3399,5.6374,2.2975
10000,311.01,0.001452,0.018074,0.016622,1407.97,2756.24,1348.28,1393.44,2575.5,1182.05,3.358,5.6228,2.2647
10500,314.63,0.001469,0.017025,0.015555,1429.51,2751.44,1321.93,1414.09,2572.68,1158.6,3.3936,5.5941,2.2005
11000,318.12,0.001486,0.016067,0.014581,1450.68,2746.58,1295.9,1434.33,2569.84,1135.51,3.4283,5.5662,2.1378
11500,321.5,0.001503,0.01519,0.013687,1471.51,2741.66,1270.15,1454.23,2566.97,1112.75,3.4624,5.5388,2.0764
12000,324.76,0.001521,0.014384,0.012864,1492.06,2736.7,1244.64,1473.81,2564.09,1090.28,3.4958,5.512,2.0162
12500,327.92,0.001538,0.013641,0.012103,1512.35,2731.69,1219.34,1493.13,2561.18,1068.06,3.5287,5.4858,1.9571
13000,330.99,0.001555,0.012953,0.011398,1532.43,2726.66,1194.23,1512.21,2558.27,1046.06,3.5611,5.46,1.8989
13500,333.97,0.001573,0.012315,0.010742,1552.32,2721.59,1169.27,1531.08,2555.34,1024.26,3.5932,5.4347,1.8415
14000,336.87,0.001591,0.011721,0.010131,1572.04,2716.5,1144.45,1549.77,2552.4,1002.62,3.625,5.4098,1.7848
14500,339.69,0.001609,0.011168,0.009559,1591.64,2711.39,1119.75,1568.32,2549.45,981.14,3.6564,5.3853,1.7288
15000,342.43,0.001627,0.01065,0.009024,1611.12,2706.26,1095.13,1586.72,2546.5,959.78,3.6877,5.3611,1.6734
15500,345.11,0.001645,0.010166,0.008521,1630.52,2701.11,1070.6,1605.02,2543.54,938.52,3.7189,5.3373,1.6184
16000,347.73,0.001663,0.009711,0.008048,1649.84,2695.96,1046.12,1623.23,2540.58,917.35,3.7499,5.3138,1.5639
16500,350.28,0.001681,0.009284,0.007602,1669.11,2690.79,1021.68,1641.37,2537.61,896.24,3.7808,5.2907,1.5098
17000,352.77,0.0017,0.008881,0.007181,1688.34,2685.62,997.28,1659.45,2534.64,875.19,3.8118,5.2678,1.456
17500,355.21,0.001718,0.008501,0.006783,1707.55,2680.44,972.89,1677.48,2531.66,854.18,3.8427,5.2452,1.4025
18000,357.6,0.001737,0.008143,0.006406,1726.76,2675.26,948.5,1695.49,2528.68,833.19,3.8737,5.2228,1.3492
18500,359.94,0.001756,0.007804,0.006048,1745.97,2670.07,924.1,1713.48,2525.7,812.22,3.9047,5.2007,1.296
19000,362.23,0.001775,0.007482,0.005708,1765.2,2664.88,899.69,1731.47,2522.72,791.24,3.9359,5.1789,1.243
19500,364.48,0.001794,0.007178,0.005384,1784.46,2659.7,875.24,1749.47,2519.73,770.25,3.9671,5.1573,1.1902
20000,366.68,0.001813,0.006889,0.005076,1803.76,2654.51,850.75,1767.49,2516.73,749.24,3.9986,5.1359,1.1373
20500,368.84,0.001833,0.006614,0.004781,1823.11,2649.32,826.21,1785.54,2513.74,728.19,4.0302,5.1147,1.0845
21000,370.96,0.001852,0.006353,0.004501,1842.53,2644.14,801.61,1803.63,2510.73,707.1,4.062,5.0938,1.0318
21500,373.05,0.001872,0.006104,0.004232,1862.01,2638.96,776.95,1821.77,2507.73,685.96,4.0941,5.073,0.979
22000,375.09,0.001892,0.005867,0.003975,1881.57,2633.79,752.21,1839.96,2504.72,664.76,4.1264,5.0525,0.9261
